"site","overflow","datetime","after.9.am","precipm","precipi"
"Newtown Creek",FALSE,2011-09-24 05:00:00,FALSE,0,0
"Newtown Creek",FALSE,2011-09-24 06:00:00,FALSE,0,0
"Newtown Creek",FALSE,2011-09-24 07:00:00,FALSE,0,0
"Newtown Creek",FALSE,2011-09-24 08:00:00,FALSE,0,0
"Newtown Creek",FALSE,2011-09-24 09:00:00,FALSE,0,0
"Newtown Creek",FALSE,2011-09-24 10:00:00,TRUE,0,0
"Newtown Creek",FALSE,2011-09-24 11:00:00,TRUE,0,0
"Newtown Creek",FALSE,2011-09-24 12:00:00,TRUE,0,0
"Newtown Creek",FALSE,2011-09-24 13:00:00,TRUE,0,0
"Newtown Creek",FALSE,2011-09-24 14:00:00,TRUE,0,0
"Newtown Creek",FALSE,2011-09-24 15:00:00,TRUE,0,0
"Newtown Creek",FALSE,2011-09-24 16:00:00,TRUE,0,0
"Newtown Creek",FALSE,2011-09-24 17:00:00,TRUE,0,0
"Newtown Creek",FALSE,2011-09-24 18:00:00,TRUE,0,0
"Newtown Creek",FALSE,2011-09-24 19:00:00,TRUE,0,0
"Newtown Creek",FALSE,2011-09-24 20:00:00,TRUE,0,0
"Newtown Creek",FALSE,2011-09-24 21:00:00,TRUE,0,0
"Newtown Creek",FALSE,2011-09-24 22:00:00,TRUE,0,0
"Newtown Creek",FALSE,2011-09-24 23:00:00,TRUE,0,0
"Newtown Creek",FALSE,2011-09-25 00:00:00,FALSE,0,0
"Newtown Creek",FALSE,2011-05-17 00:00:00,FALSE,0,0
"Newtown Creek",FALSE,2011-05-17 01:00:00,FALSE,0,0
"Newtown Creek",FALSE,2011-05-17 02:00:00,FALSE,0,0
"Newtown Creek",FALSE,2011-05-17 03:00:00,FALSE,0,0
"Newtown Creek",FALSE,2011-05-17 04:00:00,FALSE,0,0
"Newtown Creek",FALSE,2011-05-17 05:00:00,FALSE,0,0
"Newtown Creek",FALSE,2011-05-17 06:00:00,FALSE,0,0
"Newtown Creek",FALSE,2011-05-17 07:00:00,FALSE,0,0
"Newtown Creek",FALSE,2011-05-17 08:00:00,FALSE,5.3,0.21
"Newtown Creek",FALSE,2011-05-17 09:00:00,FALSE,5.3,0.21
"Newtown Creek",FALSE,2011-05-17 10:00:00,TRUE,2.5,0.1
"Newtown Creek",FALSE,2011-05-17 11:00:00,TRUE,0.3,0.01
"Newtown Creek",FALSE,2011-05-17 12:00:00,TRUE,0.3,0.01
"Newtown Creek",FALSE,2011-05-17 13:00:00,TRUE,0.3,0.01
"Newtown Creek",FALSE,2011-05-17 14:00:00,TRUE,0,0
"Newtown Creek",FALSE,2011-05-17 15:00:00,TRUE,0,0
"Newtown Creek",FALSE,2011-05-17 16:00:00,TRUE,0,0
"Newtown Creek",FALSE,2011-05-17 17:00:00,TRUE,0,0
"Newtown Creek",FALSE,2011-05-17 18:00:00,TRUE,0,0
"Newtown Creek",FALSE,2011-05-17 19:00:00,TRUE,0,0
"Newtown Creek",FALSE,2011-05-17 20:00:00,TRUE,0,0
"Newtown Creek",FALSE,2011-05-17 21:00:00,TRUE,0,0
"Newtown Creek",FALSE,2011-05-17 22:00:00,TRUE,0,0
"Newtown Creek",FALSE,2011-05-17 23:00:00,TRUE,0.3,0.01
"Newtown Creek",FALSE,2011-05-18 00:00:00,FALSE,1.3,0.05
"Newtown Creek",FALSE,2011-05-18 01:00:00,FALSE,0.5,0.02
"Newtown Creek",FALSE,2011-05-18 02:00:00,FALSE,0,0
"Newtown Creek",FALSE,2011-05-18 03:00:00,FALSE,4.6,0.18
"Newtown Creek",FALSE,2011-05-18 04:00:00,FALSE,0.3,0.01
"Newtown Creek",FALSE,2011-05-18 05:00:00,FALSE,0.3,0.01
"Newtown Creek",FALSE,2011-05-18 06:00:00,FALSE,4.3,0.17
"Newtown Creek",FALSE,2011-05-18 07:00:00,FALSE,5.8,0.23
"Newtown Creek",FALSE,2011-05-18 08:00:00,FALSE,0.3,0.01
"Newtown Creek",FALSE,2011-05-18 09:00:00,FALSE,0.3,0.01
"Newtown Creek",FALSE,2011-05-18 10:00:00,TRUE,0.3,0.01
"Newtown Creek",FALSE,2011-05-18 11:00:00,TRUE,0.3,0.01
"Newtown Creek",FALSE,2011-05-18 12:00:00,TRUE,0.3,0.01
"Newtown Creek",FALSE,2011-05-18 13:00:00,TRUE,0.3,0.01
"Newtown Creek",FALSE,2011-05-18 14:00:00,TRUE,0.3,0.01
"Newtown Creek",FALSE,2011-05-18 15:00:00,TRUE,1.8,0.07
"Newtown Creek",TRUE,2011-05-18 16:00:00,TRUE,6.9,0.27
"Newtown Creek",TRUE,2011-05-18 17:00:00,TRUE,13.2,0.52
"Newtown Creek",TRUE,2011-05-18 18:00:00,TRUE,1.3,0.05
"Newtown Creek",TRUE,2011-05-18 19:00:00,TRUE,1.3,0.05
"Newtown Creek",TRUE,2011-05-18 20:00:00,TRUE,1.5,0.06
"Newtown Creek",TRUE,2011-05-18 21:00:00,TRUE,0.5,0.02
"Newtown Creek",TRUE,2011-05-18 22:00:00,TRUE,0.5,0.02
"Newtown Creek",TRUE,2011-05-18 23:00:00,TRUE,4.1,0.16
"Newtown Creek",TRUE,2011-05-19 00:00:00,FALSE,1,0.04
"Newtown Creek",TRUE,2011-05-19 01:00:00,FALSE,1,0.04
"Newtown Creek",TRUE,2011-05-19 02:00:00,FALSE,1,0.04
"Newtown Creek",TRUE,2011-05-19 03:00:00,FALSE,1,0.04
"Newtown Creek",FALSE,2011-05-19 04:00:00,FALSE,1,0.04
"Newtown Creek",FALSE,2011-05-19 05:00:00,FALSE,1,0.04
"Newtown Creek",FALSE,2011-05-19 06:00:00,FALSE,1,0.04
"Newtown Creek",FALSE,2011-05-19 07:00:00,FALSE,1,0.04
"Newtown Creek",FALSE,2011-05-19 08:00:00,FALSE,1,0.04
"Newtown Creek",FALSE,2011-05-19 09:00:00,FALSE,1,0.04
"Newtown Creek",FALSE,2011-05-19 10:00:00,TRUE,1,0.04
"Newtown Creek",FALSE,2011-05-19 11:00:00,TRUE,1,0.04
"Newtown Creek",FALSE,2011-05-19 12:00:00,TRUE,1,0.04
"Newtown Creek",FALSE,2011-12-07 00:00:00,FALSE,0,0
"Newtown Creek",FALSE,2011-12-07 01:00:00,FALSE,0,0
"Newtown Creek",FALSE,2011-12-07 02:00:00,FALSE,0,0
"Newtown Creek",FALSE,2011-12-07 03:00:00,FALSE,0,0
"Newtown Creek",FALSE,2011-12-07 04:00:00,FALSE,0.5,0.02
"Newtown Creek",FALSE,2011-12-07 05:00:00,FALSE,0,0
"Newtown Creek",FALSE,2011-12-07 06:00:00,FALSE,0.3,0.01
"Newtown Creek",FALSE,2011-12-07 07:00:00,FALSE,0.3,0.01
"Newtown Creek",FALSE,2011-12-07 08:00:00,FALSE,0.3,0.01
"Newtown Creek",FALSE,2011-12-07 09:00:00,FALSE,0,0
"Newtown Creek",TRUE,2011-12-07 10:00:00,TRUE,0.3,0.01
"Newtown Creek",TRUE,2011-12-07 11:00:00,TRUE,0.8,0.03
"Newtown Creek",TRUE,2011-12-07 12:00:00,TRUE,1.5,0.06
"Newtown Creek",TRUE,2011-12-07 13:00:00,TRUE,1.8,0.07
"Newtown Creek",TRUE,2011-12-07 14:00:00,TRUE,0.5,0.02
"Newtown Creek",FALSE,2011-12-07 15:00:00,TRUE,0.5,0.02
"Newtown Creek",FALSE,2011-12-07 16:00:00,TRUE,0.3,0.01
"Newtown Creek",TRUE,2011-12-07 17:00:00,TRUE,3,0.12
"Newtown Creek",TRUE,2011-12-07 18:00:00,TRUE,3,0.12
"Newtown Creek",TRUE,2011-12-07 19:00:00,TRUE,0.8,0.03
"Newtown Creek",TRUE,2011-12-07 20:00:00,TRUE,2.8,0.11
"Newtown Creek",TRUE,2011-12-07 21:00:00,TRUE,3.6,0.14
"Newtown Creek",TRUE,2011-12-07 22:00:00,TRUE,1,0.04
"Newtown Creek",TRUE,2011-12-07 23:00:00,TRUE,0,0
"Newtown Creek",TRUE,2011-12-08 00:00:00,FALSE,4.3,0.17
"Newtown Creek",TRUE,2011-12-08 01:00:00,FALSE,1.5,0.06
"Newtown Creek",TRUE,2011-12-08 02:00:00,FALSE,2,0.08
"Newtown Creek",TRUE,2011-12-08 03:00:00,FALSE,1,0.04
"Newtown Creek",TRUE,2011-12-08 04:00:00,FALSE,1,0.04
"Newtown Creek",TRUE,2011-12-08 05:00:00,FALSE,1,0.04
"Newtown Creek",FALSE,2011-12-08 06:00:00,FALSE,1,0.04
"Newtown Creek",FALSE,2011-12-08 07:00:00,FALSE,1,0.04
"Newtown Creek",FALSE,2011-12-08 08:00:00,FALSE,1,0.04
"Newtown Creek",FALSE,2011-12-08 09:00:00,FALSE,1,0.04
"Newtown Creek",FALSE,2011-12-08 10:00:00,TRUE,1,0.04
"Newtown Creek",FALSE,2011-12-08 11:00:00,TRUE,1,0.04
"Newtown Creek",FALSE,2011-12-08 12:00:00,TRUE,1,0.04
"Newtown Creek",FALSE,2011-12-08 13:00:00,TRUE,1,0.04
"Newtown Creek",FALSE,2011-12-08 14:00:00,TRUE,1,0.04
"Newtown Creek",FALSE,2011-12-08 15:00:00,TRUE,1,0.04
"Newtown Creek",FALSE,2011-12-08 16:00:00,TRUE,1,0.04
"Newtown Creek",FALSE,2011-12-08 17:00:00,TRUE,1,0.04
"Newtown Creek",FALSE,2011-12-08 18:00:00,TRUE,1,0.04
"Newtown Creek",FALSE,2011-12-08 19:00:00,TRUE,1,0.04
"Newtown Creek",FALSE,2011-12-08 20:00:00,TRUE,1,0.04
"Newtown Creek",FALSE,2011-12-08 21:00:00,TRUE,1,0.04
"Newtown Creek",FALSE,2011-12-08 22:00:00,TRUE,1,0.04
"Newtown Creek",FALSE,2011-12-08 23:00:00,TRUE,1,0.04
"Newtown Creek",FALSE,2011-12-09 00:00:00,FALSE,1,0.04
