precipi,precipm,datetime
0.08,2.0,"2011-11-23 12:51:00"
0.01,0.3,"2011-11-23 13:51:00"
0.00,0.0,"2011-11-23 16:42:00"
0.00,0.0,"2011-11-23 16:51:00"
0.00,0.0,"2011-11-23 17:51:00"
0.00,0.0,"2011-12-07 02:51:00"
0.01,0.3,"2011-12-07 03:25:00"
0.01,0.3,"2011-12-07 03:30:00"
0.02,0.5,"2011-12-07 03:44:00"
0.02,0.5,"2011-12-07 03:51:00"
0.00,0.0,"2011-12-07 04:03:00"
0.00,0.0,"2011-12-07 04:13:00"
0.00,0.0,"2011-12-07 04:25:00"
0.00,0.0,"2011-12-07 04:51:00"
0.00,0.0,"2011-12-07 05:12:00"
0.00,0.0,"2011-12-07 05:15:00"
0.01,0.3,"2011-12-07 05:34:00"
0.01,0.3,"2011-12-07 05:51:00"
0.01,0.3,"2011-12-07 06:31:00"
0.01,0.3,"2011-12-07 06:46:00"
0.01,0.3,"2011-12-07 06:51:00"
0.01,0.3,"2011-12-07 07:05:00"
0.01,0.3,"2011-12-07 07:17:00"
0.01,0.3,"2011-12-07 07:25:00"
0.01,0.3,"2011-12-07 07:39:00"
0.00,0.0,"2011-12-07 08:51:00"
0.03,0.8,"2011-12-07 09:32:00"
0.07,1.8,"2011-12-07 09:51:00"
0.01,0.3,"2011-12-07 09:54:00"
0.03,0.8,"2011-12-07 10:36:00"
0.03,0.8,"2011-12-07 10:51:00"
0.01,0.3,"2011-12-07 11:32:00"
0.04,1.0,"2011-12-07 11:41:00"
0.05,1.3,"2011-12-07 11:48:00"
0.06,1.5,"2011-12-07 11:51:00"
0.04,1.0,"2011-12-07 12:05:00"
0.04,1.0,"2011-12-07 12:12:00"
0.06,1.5,"2011-12-07 12:25:00"
0.07,1.8,"2011-12-07 12:32:00"
0.07,1.8,"2011-12-07 12:51:00"
0.02,0.5,"2011-12-07 13:51:00"
0.02,0.5,"2011-12-07 15:19:00"
0.05,1.3,"2011-12-07 15:36:00"
0.08,2.0,"2011-12-07 15:51:00"
0.01,0.3,"2011-12-07 15:58:00"
0.08,2.0,"2011-12-07 16:34:00"
0.09,2.3,"2011-12-07 16:41:00"
0.12,3.0,"2011-12-07 16:51:00"
0.03,0.8,"2011-12-07 17:10:00"
0.12,3.0,"2011-12-07 17:51:00"
0.03,0.8,"2011-12-07 18:51:00"
0.03,0.8,"2011-12-07 19:12:00"
0.11,2.8,"2011-12-07 19:51:00"
0.02,0.5,"2011-12-07 20:00:00"
0.09,2.3,"2011-12-07 20:24:00"
0.14,3.6,"2011-12-07 20:51:00"
0.05,1.3,"2011-12-07 21:21:00"
0.27,6.9,"2011-12-07 21:48:00"
0.28,7.1,"2011-12-07 21:51:00"
0.04,1.0,"2011-12-07 21:59:00"
0.25,6.3,"2011-12-07 22:31:00"
0.26,6.6,"2011-12-07 22:41:00"
0.00,0.0,"2011-12-07 22:53:00"
0.07,1.8,"2011-12-07 23:19:00"
0.09,2.3,"2011-12-07 23:28:00"
0.13,3.3,"2011-12-07 23:43:00"
0.17,4.3,"2011-12-07 23:51:00"
0.03,0.8,"2011-12-08 00:03:00"
0.04,1.0,"2011-12-08 00:14:00"
0.06,1.5,"2011-12-08 00:51:00"
0.00,0.0,"2011-12-08 01:10:00"
0.08,2.0,"2011-12-08 01:51:00"
0.04,1.0,"2011-12-08 02:51:00"
