time, precipm, precipi
2011-03-06 06:51, 0.0, 0.00
2011-03-06 08:51, 0.3, 0.01
2011-03-06 09:22, 0.8, 0.03
2011-03-06 09:30, 0.8, 0.03
2011-03-06 09:49, 1.0, 0.04
2011-03-06 09:51, 1.0, 0.04
2011-03-06 09:56, 0.0, 0.00
2011-03-06 10:51, 0.8, 0.03
2011-03-06 10:53, 0.0, 0.00
2011-03-06 11:07, 0.5, 0.02
2011-03-06 11:29, 2.3, 0.09
2011-03-06 11:44, 2.8, 0.11
2011-03-06 11:51, 2.8, 0.11
2011-03-06 12:31, 0.8, 0.03
2011-03-06 12:40, 0.8, 0.03
2011-03-06 12:51, 1.3, 0.05
2011-03-06 13:13, 0.0, 0.00
2011-03-06 13:22, 0.5, 0.02
2011-03-06 13:44, 0.8, 0.03
2011-03-06 13:51, 0.8, 0.03
2011-03-06 14:51, 0.3, 0.01
2011-03-06 15:07, 0.5, 0.02
2011-03-06 15:51, 1.5, 0.06
2011-03-06 16:01, 0.5, 0.02
2011-03-06 16:15, 1.5, 0.06
2011-03-06 16:30, 3.3, 0.13
2011-03-06 16:37, 4.6, 0.18
2011-03-06 16:51, 8.6, 0.34
2011-03-06 17:07, 2.3, 0.09
2011-03-06 17:14, 3.3, 0.13
2011-03-06 17:21, 3.8, 0.15
2011-03-06 17:38, 4.8, 0.19
2011-03-06 17:51, 5.3, 0.21
2011-03-06 18:12, 1.3, 0.05
2011-03-06 18:30, 3.6, 0.14
2011-03-06 18:40, 4.8, 0.19
2011-03-06 18:51, 4.8, 0.19
2011-03-06 19:27, 0.8, 0.03
2011-03-06 19:51, 4.3, 0.17
2011-03-06 20:09, 2.0, 0.08
2011-03-06 20:40, 5.8, 0.23
2011-03-06 20:51, 7.6, 0.30
2011-03-06 20:59, 0.8, 0.03
2011-03-06 21:06, 2.0, 0.08
2011-03-06 21:15, 2.8, 0.11
2011-03-06 21:41, 5.8, 0.23
2011-03-06 21:51, 6.9, 0.27
2011-03-06 22:07, 1.3, 0.05
2011-03-06 22:29, 2.8, 0.11
2011-03-06 22:37, 3.0, 0.12
2011-03-06 22:51, 4.3, 0.17
2011-03-06 23:01, 0.0, 0.00
2011-03-06 23:51, 0.5, 0.02
2011-03-07 00:19, 0.3, 0.01
2011-03-07 00:51, 0.3, 0.01
2011-03-07 01:02, 0.0, 0.00
2011-03-07 01:18, 0.8, 0.03
2011-03-07 01:28, 1.8, 0.07
2011-03-07 01:51, 1.8, 0.07
2011-03-07 02:43, 0.3, 0.01
2011-03-07 02:51, 0.3, 0.01
